timestamp,function,response_time_s,node_arch,status_code,policy,locust_response_time
1787822801.2881289,arm_faster,0.783981842,arm64,200,LinUCB,1013.0872679999925
1787822801.5524933,readdisk,1.135709855,arm64,200,LinUCB,1273.2212060000165
1787822801.7433696,chacha20,1.059162042,arm64,200,LinUCB,1467.3180920000277
1787822802.1577344,amd_faster,1.493685907,arm64,200,LinUCB,1889.1600700000026
1787822803.3180134,linpack,2.653220435,arm64,200,LinUCB,3040.1894440000206
1787822804.078668,amd_faster,1.786761096,amd64,200,LinUCB,1920.472965999977
1787822804.2448716,arm_faster,2.809515224,amd64,200,LinUCB,2956.3142590000098
1787822804.287363,chacha20,2.431806615,amd64,200,LinUCB,2543.626580000023
1787822804.7490692,readdisk,3.070426181,amd64,200,LinUCB,3196.125010000003
1787822805.0935898,amd_faster,0.963516987,amd64,200,LinUCB,1014.5247089999998
1787822805.3564224,chacha20,0.993014552,amd64,200,LinUCB,1068.6385600000108
1787822805.662132,arm_faster,1.348472406,amd64,200,LinUCB,1416.762054000003
1787822805.8954635,amd_faster,0.751952231,amd64,200,LinUCB,801.4361259999987
1787822806.0301433,readdisk,1.223835133,amd64,200,LinUCB,1280.4518560000133
1787822806.352806,chacha20,0.945810866,amd64,200,LinUCB,995.990226999993
1787822806.4488971,arm_faster,0.723499381,arm64,200,LinUCB,786.3309370000025
1787822806.8859942,amd_faster,0.933591717,arm64,200,LinUCB,990.1291479999941
1787822807.334138,readdisk,1.250560488,amd64,200,LinUCB,1303.524594999999
1787822807.4198341,arm_faster,0.912019667,amd64,200,LinUCB,970.5477239999709
1787822807.4635887,chacha20,1.051847362,arm64,200,LinUCB,1110.3884990000097
1787822807.6197581,amd_faster,0.672001681,amd64,200,LinUCB,733.4243660000084
1787822808.200593,arm_faster,0.719680262,arm64,200,LinUCB,780.3551169999992
1787822808.345368,amd_faster,0.67339554,amd64,200,LinUCB,725.2599660000101
1787822808.4301927,readdisk,1.045505642,arm64,200,LinUCB,1095.6835350000347
1787822808.904844,chacha20,1.360867651,amd64,200,LinUCB,1440.9083749999922
1787822809.0876307,arm_faster,0.738536336,arm64,200,LinUCB,886.6062259999694
1787822809.2105494,linpack,5.88662746,amd64,200,LinUCB,5892.038832000026
1787822809.3554676,amd_faster,0.957888909,arm64,200,LinUCB,1009.7369439999966
1787822810.0221212,chacha20,1.064611642,arm64,200,LinUCB,1116.7699989999846
1787822810.0516932,arm_faster,0.906044442,amd64,200,LinUCB,963.7347060000252
1787822810.3368688,amd_faster,0.932206917,arm64,200,LinUCB,981.068568000012
1787822810.80189,readdisk,2.31736322,amd64,200,LinUCB,2371.3565660000313
1787822810.822506,linpack,1.607843392,amd64,200,LinUCB,1611.6320029999542
1787822810.8595161,arm_faster,0.722398101,arm64,200,LinUCB,807.5004320000403
1787822811.0037808,readmemory,10.378658063,arm64,200,LinUCB,10723.86204899999
1787822811.0503051,amd_faster,0.661396657,amd64,200,LinUCB,713.0889670000329
1787822811.148797,chacha20,1.061757162,arm64,200,LinUCB,1126.3073609999878
1787822811.5908885,linpack,0.734768303,amd64,200,LinUCB,768.0620369999929
1787822811.6297894,arm_faster,0.720076941,arm64,200,LinUCB,769.9775639999871
1787822811.850216,amd_faster,0.732038217,amd64,200,LinUCB,799.2149680000011
1787822811.8986309,readdisk,1.044152883,arm64,200,LinUCB,1096.322511999972
1787822812.194447,chacha20,0.985621054,amd64,200,LinUCB,1045.2912499999911
1787822812.869734,thread,12.397436198,arm64,200,LinUCB,12588.336749000007
1787822812.8834617,amd_faster,0.976222575,amd64,200,LinUCB,1032.9340299999785
1787822812.9952064,arm_faster,1.303534795,amd64,200,LinUCB,1365.1208990000328
1787822813.016483,readdisk,1.056117759,arm64,200,LinUCB,1117.5410040000315
1787822813.816749,arm_faster,0.770891966,arm64,200,LinUCB,821.2500089999821
1787822813.8524086,linpack,2.256123316,arm64,200,LinUCB,2261.0719740000036
1787822814.0197864,amd_faster,1.027864648,arm64,200,LinUCB,1136.0270879999916
1787822814.5556314,readdisk,1.451000333,amd64,200,LinUCB,1538.7996679999674
1787822814.586874,arm_faster,0.720842621,arm64,200,LinUCB,769.8134999999979
1787822814.9585762,linpack,1.090649575,amd64,200,LinUCB,1105.8276489999912
1787822815.0109048,amd_faster,0.937448955,arm64,200,LinUCB,990.7435910000117
1787822815.1385558,chacha20,2.894144548,amd64,200,LinUCB,2943.752582000002
1787822815.377241,arm_faster,0.715714023,arm64,200,LinUCB,789.9371830000064
1787822815.6570687,readdisk,1.040769604,arm64,200,LinUCB,1101.066067999966
1787822815.7015781,linpack,0.738296778,amd64,200,LinUCB,742.5791769999819
1787822815.993579,amd_faster,0.932256797,arm64,200,LinUCB,982.2280939999928
1787822816.1518767,arm_faster,0.721951981,arm64,200,LinUCB,774.1028379999761
1787822816.2475593,chacha20,1.056570202,arm64,200,LinUCB,1108.6100499999816
1787822816.7086065,amd_faster,0.663769915,amd64,200,LinUCB,714.705213000002
1787822816.925518,arm_faster,0.720871981,arm64,200,LinUCB,773.138724999967
1787822817.0742576,primenumber,16.548421184,arm64,200,LinUCB,16795.45112599999
1787822817.2689989,linpack,1.55253905,amd64,200,LinUCB,1566.977300000019
1787822817.377406,chacha20,1.069534842,arm64,200,LinUCB,1129.4584650000274
1787822817.4379246,amd_faster,0.662752844,amd64,200,LinUCB,728.9612100000227
1787822817.6872053,readdisk,1.9718576639999998,amd64,200,LinUCB,2029.4412750000106
1787822817.7032325,arm_faster,0.720908261,arm64,200,LinUCB,777.3324000000343
1787822818.1568499,amd_faster,0.66895802,amd64,200,LinUCB,718.5152870000024
1787822818.705375,arm_faster,0.916418254,amd64,200,LinUCB,1001.777527999991
1787822818.8333707,readdisk,1.091851068,arm64,200,LinUCB,1145.7826700000169
1787822818.8716512,linpack,1.597868675,arm64,200,LinUCB,1602.2969769999804
1787822818.8843024,amd_faster,0.672206043,amd64,200,LinUCB,727.092220999964
1787822819.3538787,chacha20,1.924934124,arm64,200,LinUCB,1976.1171110000078
1787822819.598017,linpack,0.71018803,amd64,200,LinUCB,725.9956139999986
1787822819.6023362,amd_faster,0.663888114,amd64,200,LinUCB,717.7553239999952
1787822819.682691,arm_faster,0.924991894,amd64,200,LinUCB,976.9736289999855
1787822819.9289236,readdisk,1.042558164,arm64,200,LinUCB,1095.243112999981
1787822820.3354936,linpack,0.732514332,amd64,200,LinUCB,737.0987099999979
1787822820.454631,arm_faster,0.721132981,arm64,200,LinUCB,771.599187999982
1787822820.4666593,chacha20,1.059181482,arm64,200,LinUCB,1112.3984550000046
1787822820.5825567,amd_faster,0.929266038,arm64,200,LinUCB,979.8235409999734
1787822821.0290298,readdisk,1.041654364,arm64,200,LinUCB,1099.677220999979
1787822821.0819414,linpack,0.740858269,amd64,200,LinUCB,746.0345370000141
1787822821.2305195,arm_faster,0.722276301,arm64,200,LinUCB,775.4769030000261
1787822821.2970798,amd_faster,0.662023993,amd64,200,LinUCB,714.1200500000195
1787822821.6227686,chacha20,1.059888002,arm64,200,LinUCB,1155.6421679999858
1787822821.8296163,linpack,0.741649107,amd64,200,LinUCB,747.2590280000304
1787822822.0092144,arm_faster,0.716627743,arm64,200,LinUCB,778.2138320000058
1787822822.0225344,amd_faster,0.669943751,amd64,200,LinUCB,725.0924649999888
1787822822.1276655,readdisk,1.041325524,arm64,200,LinUCB,1098.2332199999973
1787822822.569017,linpack,0.734569012,amd64,200,LinUCB,738.923399999976
1787822822.7747145,amd_faster,0.661182438,amd64,200,LinUCB,751.6937270000312
1787822822.787707,arm_faster,0.720828542,arm64,200,LinUCB,778.0533369999603
1787822823.2323647,readdisk,1.041259244,arm64,200,LinUCB,1104.2184899999938
1787822823.3091264,linpack,0.734548147,amd64,200,LinUCB,739.6460690000026
1787822823.6258647,arm_faster,0.742527854,arm64,200,LinUCB,837.6821150000069
1787822823.7125218,chacha20,2.036300524,arm64,200,LinUCB,2089.277024000012
1787822823.818718,amd_faster,0.983363862,arm64,200,LinUCB,1043.6207500000023
1787822824.0490277,linpack,0.734972816,amd64,200,LinUCB,739.4565650000118
1787822824.33076,readdisk,1.044464283,arm64,200,LinUCB,1097.9311980000261
1787822824.396723,arm_faster,0.716643022,arm64,200,LinUCB,770.3811190000351
1787822824.70423,chacha20,0.940193704,amd64,200,LinUCB,991.265774999988
1787822824.7855294,linpack,0.731443094,amd64,200,LinUCB,736.092401999997
1787822824.8155355,amd_faster,0.932523037,arm64,200,LinUCB,996.4346179999666
1787822825.177865,arm_faster,0.721604381,arm64,200,LinUCB,780.7193170000346
1787822825.4270048,readdisk,1.041324804,arm64,200,LinUCB,1095.8140139999841
