timestamp,function,response_time_s,node_arch,status_code,policy,locust_response_time
1787824325.701287,amd_faster,0.662072512,amd64,200,UCB1,977.3715759999959
1787824327.6842093,arm_faster,2.536695621,amd64,200,UCB1,2953.6821309999937
1787824328.133347,amd_faster,2.24799181,arm64,200,UCB1,2431.6991899999607
1787824328.428905,readdisk,3.232709851,amd64,200,UCB1,3693.637582000008
1787824328.9297776,linpack,4.066743721,amd64,200,UCB1,4196.179161000032
1787824329.1261292,chacha20,4.055513247,amd64,200,UCB1,4394.448065999995
1787824329.1353953,amd_faster,0.948721787,arm64,200,UCB1,1001.7039080000245
1787824329.6005976,arm_faster,1.7928291490000001,arm64,200,UCB1,1915.9457199999679
1787824329.9055219,amd_faster,0.661851744,amd64,200,UCB1,769.7997889999897
1787824330.3906753,arm_faster,0.724045468,arm64,200,UCB1,789.6604659999866
1787824330.6173692,amd_faster,0.661906718,amd64,200,UCB1,711.5487789999975
1787824330.7815542,readdisk,2.226639349,arm64,200,UCB1,2352.300521000018
1787824331.1689918,arm_faster,0.722185348,arm64,200,UCB1,777.8886060000332
1787824331.616564,amd_faster,0.937267587,arm64,200,UCB1,998.7522330000047
1787824331.8791506,readdisk,1.043309699,arm64,200,UCB1,1097.2112009999933
1787824331.9435685,arm_faster,0.723238148,arm64,200,UCB1,774.2462360000104
1787824332.37815,amd_faster,0.660601637,amd64,200,UCB1,761.1558230000242
1787824332.5128922,chacha20,3.246736847,arm64,200,UCB1,3386.3404460000197
1787824332.7301972,arm_faster,0.726826508,arm64,200,UCB1,786.250544999973
1787824333.0111618,readdisk,1.065949137,arm64,200,UCB1,1131.6933910000557
1787824333.092574,amd_faster,0.664205915,amd64,200,UCB1,714.1125580000107
1787824333.504065,arm_faster,0.721062788,arm64,200,UCB1,773.5608609999645
1787824333.5980375,chacha20,1.006367719,arm64,200,UCB1,1084.8203699999885
1787824333.8059523,amd_faster,0.661837975,amd64,200,UCB1,712.915516999999
1787824334.108598,readdisk,1.039357739,arm64,200,UCB1,1097.1256569999923
1787824334.2790627,arm_faster,0.724319108,arm64,200,UCB1,774.6496720000096
1787824334.5205383,amd_faster,0.664350124,amd64,200,UCB1,714.296174000026
1787824334.6724946,chacha20,1.010654199,arm64,200,UCB1,1074.1450360000044
1787824335.0740232,arm_faster,0.725921348,arm64,200,UCB1,794.6285479999915
1787824335.2105935,readdisk,1.039414379,arm64,200,UCB1,1101.5716950000183
1787824335.5130959,amd_faster,0.937137427,arm64,200,UCB1,992.139667999993
1787824335.898842,arm_faster,0.77388247,arm64,200,UCB1,824.3994309999607
1787824336.2340765,amd_faster,0.664851153,amd64,200,UCB1,720.6796339999642
1787824336.3090734,readdisk,1.042664738,arm64,200,UCB1,1098.0904529999975
1787824336.4496174,linpack,7.514541493,arm64,200,UCB1,7519.496914000001
1787824336.683499,arm_faster,0.731943149,arm64,200,UCB1,784.3466179999723
1787824336.7891736,chacha20,2.064520321,arm64,200,UCB1,2116.3557530000503
1787824336.9471726,amd_faster,0.663418127,amd64,200,UCB1,712.7828409999779
1787824336.9888542,readmemory,12.119591415,amd64,200,UCB1,12252.001071999985
1787824337.41009,readdisk,1.042144579,arm64,200,UCB1,1100.7002220000004
1787824337.5810313,arm_faster,0.843297592,arm64,200,UCB1,897.225914000046
1787824337.6677976,amd_faster,0.664692591,amd64,200,UCB1,720.2328629999784
1787824337.896841,chacha20,1.055292841,arm64,200,UCB1,1107.2621110000114
1787824338.3788378,arm_faster,0.740478508,arm64,200,UCB1,797.3985309999989
1787824338.3823342,amd_faster,0.662326597,amd64,200,UCB1,714.1813340000454
1787824338.504314,readdisk,1.0414877790000001,arm64,200,UCB1,1093.8876459999847
