Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,amd_faster,601,0,990,995.5710702762118,977.1731999999247,1246.7458470000565,327.71381031613976,1.003531425005945,0.0,990,990,1000,1000,1000,1000,1100,1100,1200,1200,1200
POST,arm_faster,648,0,920,923.1465036172747,861.5049749996615,1166.5364219998082,328.641975308642,1.0820105880263766,0.0,920,920,920,930,950,960,980,1000,1200,1200,1200
POST,chacha20,447,0,1100,1338.9572898836666,1042.2995899998568,2705.976352000107,283.11185682326624,0.7463869334070838,0.0,1100,1100,1500,2000,2100,2200,2600,2600,2700,2700,2700
POST,filehandle,17,0,35000,34972.04707129415,34685.43327199995,35310.5646150002,333.8235294117647,0.02838608024143272,0.0,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000
POST,linpack,344,0,1800,1738.4718021017447,1349.8574599998392,2096.524633000172,340.5988372093023,0.574400682532521,0.0,1800,1900,1900,1900,2000,2000,2000,2000,2100,2100,2100
POST,primenumber,11,0,50178.0399940003,50287.41304290923,50178.0399940003,50406.7080079999,321.6363636363636,0.018367463685632936,0.0,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000
POST,readdisk,533,0,1100,1123.2175167917646,1088.5606399997414,1520.9934509998675,319.0637898686679,0.8899871040402141,0.0,1100,1100,1100,1100,1200,1200,1200,1200,1500,1500,1500
POST,readmemory,29,0,19000,19971.37217268965,12190.786649999609,29797.449010000037,321.7586206896552,0.048423313353032287,0.0,19000,22000,26000,27000,30000,30000,30000,30000,30000,30000,30000
POST,thread,33,0,17000,17988.629766575727,15896.481371999926,23980.45341599982,321.8787878787879,0.055102391056898806,0.0,17000,19000,19000,20000,21000,23000,24000,24000,24000,24000,24000
,Aggregated,2663,0,1100,1994.833350176494,861.5049749996615,50406.7080079999,320.2628614344724,4.446595981349137,0.0,1100,1100,1100,1400,1900,2100,19000,35000,50000,50000,50000
